movie_ID,genre_1,genre_2,genre_3
tt0484828,Adventure,Comedy,
tt0485061,Drama,Thriller,
tt0485521,Comedy,Drama,
tt0485985,Action,Adventure,Drama
tt0486622,Drama,,
tt0490075,Crime,Thriller,
tt0490199,Comedy,Drama,
tt0490215,Adventure,Drama,History
tt0490236,Horror,Thriller,
tt0490847,Action,Crime,Drama
tt0491152,Comedy,Drama,Romance
tt0491175,Comedy,Crime,Drama
tt0491203,Drama,History,Romance
tt0492389,Comedy,Family,
tt0493076,Biography,Drama,Music
tt0493405,Action,Comedy,Crime
tt0493949,Adventure,Comedy,Family
tt0494229,Drama,,
tt0495024,Horror,Mystery,Romance
tt0495037,Crime,Drama,
tt0496375,Action,Adventure,Horror
tt0498351,Animation,Family,
tt0498381,Drama,Horror,Mystery
tt0499097,Action,Crime,Drama
tt0499608,Drama,Fantasy,Romance
tt0756727,Biography,Documentary,Music
tt0758752,Comedy,Drama,Romance
tt0762138,Comedy,Drama,Romance
tt0763831,Comedy,Drama,
tt0765446,Adventure,Animation,Comedy
tt0765453,Comedy,,
tt0765465,Animation,Family,Fantasy
tt0765485,Adventure,Comedy,Sci-Fi
tt0768187,Family,Fantasy,
tt0768222,Horror,Mystery,
tt0770703,Comedy,Romance,
tt0770728,Drama,,
tt0770778,Drama,Fantasy,Thriller
tt0770802,Documentary,Music,
tt0770819,Comedy,Romance,
tt0770828,Action,Adventure,Sci-Fi
tt0772175,Action,Thriller,
tt0772179,Comedy,Horror,Thriller
tt0774519,Drama,Thriller,
tt0775440,Action,Drama,Horror
tt0775461,Family,Fantasy,
tt0775489,Animation,Drama,
tt0775543,Drama,Romance,
tt0780504,Crime,Drama,
tt0780548,Biography,Comedy,Crime
tt0780625,Comedy,Drama,
tt0780645,Action,Adventure,Horror
tt0780653,Drama,Fantasy,Horror
tt0781441,Thriller,,
tt0782047,Thriller,,
tt0783640,Drama,War,
tt0787442,Drama,Mystery,War
tt0787474,Adventure,Animation,Comedy
tt0787524,Biography,Drama,
tt0790628,Adventure,Comedy,Fantasy
tt0790636,Biography,Drama,
tt0790653,Comedy,Romance,
tt0790663,Biography,Drama,Romance
tt0790724,Action,Crime,Thriller
tt0790736,Action,Adventure,Comedy
tt0790770,Biography,Drama,Music
tt0790788,Thriller,,
tt0795459,Documentary,Drama,
tt0795461,Comedy,,
tt0798817,Drama,Thriller,
tt0800054,Comedy,Family,
tt0800092,Biography,Drama,
tt0800320,Action,Adventure,Fantasy
tt0800325,Biography,Comedy,Drama
tt0800353,Drama,,
tt0800369,Action,Adventure,Fantasy
tt0803061,Biography,Comedy,Drama
tt0803096,Action,Adventure,Fantasy
tt0804463,Biography,Crime,Drama
tt0804483,Documentary,,
tt0804497,Comedy,Drama,Romance
tt0804509,Comedy,Drama,
tt0805617,Action,Drama,Fantasy
tt0805647,Adventure,Comedy,Family
tt0808245,Documentary,,
tt0808447,Documentary,Music,
tt0808510,Comedy,Family,Fantasy
tt0810772,Drama,Romance,
tt0810815,Action,,
tt0810819,Biography,Drama,Romance
tt0810856,Documentary,,
tt0810913,Comedy,,
tt0810922,Comedy,Drama,Romance
tt0811021,Adventure,Animation,Family
tt0811069,Drama,Music,
tt0811137,Comedy,,
tt0811613,Drama,,
tt0813992,Adventure,,
tt0814255,Adventure,Family,Fantasy
tt0815101,Drama,,
tt0815236,Comedy,Romance,
tt0816362,Documentary,,
tt0816442,Drama,War,
tt0816462,Action,Adventure,Fantasy
tt0816648,Drama,,
tt0816692,Adventure,Drama,Sci-Fi
tt0816711,Action,Adventure,Horror
tt0817177,Comedy,Drama,Romance
tt0817230,Comedy,Romance,
tt0817545,Action,Crime,Drama
tt0818098,Thriller,,
tt0818172,Drama,,
tt0821486,Comedy,Music,Romance
tt0822847,Action,Adventure,Fantasy
tt0825282,Drama,,
tt0825283,Action,Adventure,Comedy
tt0825334,Comedy,Drama,
tt0826532,Comedy,Horror,
tt0826823,Adventure,Family,
tt0828135,Documentary,,
tt0829150,Action,Drama,Fantasy
tt0829176,Action,Horror,Thriller
tt0831280,Drama,,
tt0831387,Action,Adventure,Sci-Fi
tt0831881,Documentary,,
tt0835418,Comedy,,
tt0835775,Action,Biography,Crime
tt0835802,Comedy,Drama,
tt0837156,Adventure,Comedy,Family
tt0837559,Crime,Drama,Romance
tt0837562,Animation,Comedy,Family
tt0837563,Horror,Mystery,Thriller
tt0838194,Comedy,Drama,War
tt0839742,Drama,,
tt0840358,Documentary,Music,
tt0840361,Crime,Drama,Thriller
tt0840789,Western,,
tt0841185,Comedy,Sci-Fi,
tt0842926,Comedy,Drama,Romance
tt0843839,Drama,Fantasy,Mystery
tt0844699,Documentary,,
tt0844866,Adventure,Crime,Drama
tt0844915,Comedy,Sci-Fi,
tt0844993,Animation,Comedy,Crime
tt0846004,Action,,
tt0847180,Action,Comedy,Crime
tt0847215,Horror,Thriller,
tt0847505,Adventure,,
tt0847735,Comedy,,
tt0847825,Sci-Fi,Thriller,
tt0848228,Action,Adventure,Sci-Fi
tt0848537,Adventure,Animation,Family
tt0848554,Horror,Sci-Fi,Thriller
tt0849437,Action,Drama,Sport
tt0850247,Sci-Fi,,
tt0850677,Drama,Horror,Romance
tt0850678,Romance,,
tt0850709,Biography,Drama,
tt0851471,Adventure,Animation,Comedy
tt0852441,Drama,,
tt0852939,Drama,,
tt0852986,Comedy,,
tt0853002,Drama,,
tt0853155,Documentary,,
tt0856796,Drama,Romance,
tt0857190,Action,Crime,Drama
tt0858411,Comedy,Horror,
tt0858419,Drama,,
tt0858422,Adventure,Horror,Thriller
tt0858500,Comedy,Drama,
tt0859612,Documentary,,
tt0859635,Comedy,Crime,Mystery
tt0860907,Action,Animation,Drama
tt0861747,Action,Adventure,Comedy
tt0862748,Action,Adventure,Comedy
tt0862930,Horror,Thriller,
tt0864835,Adventure,Animation,Comedy
tt0865557,Drama,Romance,
tt0865561,Comedy,,
tt0865911,Mystery,,
tt0870154,Adventure,,
tt0870208,Comedy,,
tt0871891,Comedy,,
tt0871893,Drama,,
tt0872230,Horror,Mystery,Thriller
tt0873886,Action,Crime,Horror
tt0874268,Drama,Thriller,
tt0874421,Documentary,,
tt0874426,Thriller,,
tt0875612,Documentary,,
tt0875613,Horror,Thriller,
tt0875702,Documentary,,
tt0878654,Thriller,,
tt0878672,Documentary,,
tt0878814,Comedy,Romance,
tt0878835,Comedy,Drama,
tt0879405,Thriller,,
tt0879859,Thriller,,
tt0879870,Drama,Romance,
tt0880569,Musical,,
tt0881320,Adventure,Drama,Thriller
tt0882741,Comedy,Musical,Romance
tt0882977,Action,Drama,Thriller
tt0884214,Horror,Thriller,
tt0884325,Horror,,
tt0884726,Adventure,Animation,Family
tt0884732,Comedy,,
tt0887143,Horror,,
tt0887161,Comedy,Drama,
tt0887266,Documentary,,
tt0887751,Crime,Drama,Thriller
tt0889573,Comedy,Drama,Romance
tt0891581,Documentary,,
tt0892062,Animation,Comedy,Fantasy
