movie_ID,production_budget,gross_income,net_income,cost_income_ratio
tt1772240,5000000,26517819,21517819,0.18855245976299936
tt1477834,160000000,1146894640,986894640,0.1395071477533455
tt1764183,12000000,35830713,23830713,0.33490821128789705
tt1519461,5000000,7556,-4992444,661.7257808364213
tt1024648,44500000,227140757,182640757,0.19591376108691932
tt2543164,47000000,203127894,156127894,0.23138131880597354
tt1334512,40000000,47787943,7787943,0.837031215174924
tt1430607,85000000,149717124,64717124,0.5677373284301133
tt2870612,5000000,41824066,36824066,0.11954839589245102
tt2176228,450000,13486,-436514,33.36793711997627
tt2800038,5000000,851690,-4148310,5.87068064671418
tt2406566,30000000,98345423,68345423,0.30504724149694284
tt1478964,13000000,6459183,-6540817,2.012638440496267
tt1322269,25000000,50738810,25738810,0.4927194784426359
tt2395427,330600000,1403013963,1072413963,0.23563557364254115
tt4154756,300000000,2048134200,1748134200,0.14647477689694358
tt4849438,30000000,263502914,233502914,0.11385073335469831
tt2631186,40000000,26736665,-13263335,1.4960729021364483
tt3890160,34000000,228104185,194104185,0.14905469621261003
tt1920849,3000000,12577401,9577401,0.2385230462159869
tt4651520,20000000,180998716,160998716,0.11049802143347802
tt1284575,19000000,215448997,196448997,0.08818792505216444
tt6628394,32000000,29204379,-2795621,1.0957260895703347
tt1171222,8500000,22885836,14385836,0.3714087612967252
tt3863552,13000000,121778347,108778347,0.10675132583299066
tt3202120,10000000,247565,-9752435,40.39343202795226
tt3628584,20000000,54404202,34404202,0.3676186629848922
tt2975590,250000000,867500281,617500281,0.2881843446918722
tt4622512,25000000,18445379,-6554621,1.35535301280608
tt1532958,20000000,16723377,-3276623,1.195930702273829
tt1440129,220000000,313477717,93477717,0.7018042689139529
tt1469304,60000000,175863783,115863783,0.3411731453542086
tt1152398,17000000,38028230,21028230,0.44703632012323474
tt2125435,1800000,23265132,21465132,0.07736900009851652
tt1226837,25000000,13031424,-11968576,1.9184396118183247
tt1559547,50000000,60282876,10282876,0.8294229359594588
tt2771200,160000000,1259199706,1099199706,0.12706483271685262
tt1691916,5000000,18945682,13945682,0.2639123785567603
tt1726592,22000000,19563579,-2436421,1.124538613307923
tt2209418,3000000,23251930,20251930,0.1290215478887129
tt4700756,3500000,890303,-2609697,3.9312458792119087
tt2638144,95000000,91669648,-3330352,1.036329931145803
tt3125324,7000000,14618727,7618727,0.47883786324212774
tt1126590,10000000,27317872,17317872,0.3660607239099737
tt4317898,10000000,27317872,17317872,0.3660607239099737
tt2245084,165000000,652127828,487127828,0.2530178791879435
tt1430615,40000000,25268680,-14731320,1.5829873186885899
tt1464174,32000000,82332450,50332450,0.3886681375326496
tt2562232,18000000,103215094,85215094,0.17439309797072897
tt3182620,21000000,606162,-20393838,34.64420402466667
tt7349662,15000000,93017335,78017335,0.1612602640142292
tt1355683,53000000,98837872,45837872,0.5362316987156502
tt1425922,17500000,7285135,-10214865,2.402151778930658
tt1825683,200000000,1348258224,1148258224,0.14833953647739812
tt0947798,13000000,331266710,318266710,0.03924330337932236
tt2717822,70000000,19665004,-50334996,3.5596229728709945
tt1629705,4500000,1217307,-3282693,3.6966845668348247
tt1856101,185000000,259357408,74357408,0.7133013914142757
tt1540011,10000000,38985577,28985577,0.25650511726426417
tt1620935,16000000,6603926,-9396074,2.422801224604879
tt1086772,45000000,127990741,82990741,0.3515879324427069
tt2531344,21000000,94045328,73045328,0.22329657885822887
tt1210039,10000000,109383,-9890617,91.42188457072854
tt5621080,26000000,2923959,-23076041,8.892053547946466
tt2334873,18000000,102912961,84912961,0.1749050831410827
tt1758575,1200000,595018,-604982,2.0167457118944303
tt1120985,1000000,16566240,15566240,0.060363727677493505
tt1727824,55000000,894985342,839985342,0.06145352043095249
tt2494362,2000000,475846,-1524154,4.2030404794828575
tt6857166,10000000,91113683,81113683,0.10975299944795339
tt2246526,500000,1822,-498178,274.423710208562
tt1065073,4000000,57273049,53273049,0.06984087751291188
tt1217209,185000000,554606532,369606532,0.33356981810665004
tt7137846,6000000,51411620,45411620,0.11670513397554871
tt1430612,28000000,73421224,45421224,0.38136111705247516
tt1478338,32500000,289632023,257132023,0.11221134895018152
tt3682448,40000000,162498338,122498338,0.24615636376539432
tt1235522,35000000,34480045,-519955,1.0150798817112914
tt2503954,15000000,3471,-14996529,4321.5211754537595
tt2381111,11000000,62076141,51076141,0.17720173681543766
tt3262990,1900000,478595,-1421405,3.9699537186974374
tt3787742,1900000,478595,-1421405,3.9699537186974374
tt3650484,13000000,17856688,4856688,0.728018544088355
tt3802576,13000000,17856688,4856688,0.728018544088355
tt4952376,13000000,17856688,4856688,0.728018544088355
tt1411664,10000000,2529395,-7470605,3.9535145756198617
tt4701182,102000000,465195589,363195589,0.21926261213968648
tt1462758,1987650,21270290,19282640,0.0934472449599888
tt1126591,55000000,90552675,35552675,0.6073812838770362
tt1586713,55000000,90552675,35552675,0.6073812838770362
tt1781784,225000,1109276,884276,0.2028350022897818
tt2503944,20000000,36773510,16773510,0.5438697584212113
tt3707106,20000000,3727746,-16272254,5.365172412498062
tt1106860,7000000,46488,-6953512,150.57649285837206
tt2994190,1000000,101053,-898947,9.895797254905842
tt4595882,10000000,11752387,1752387,0.8508909721914365
tt3498820,250000000,1140069413,890069413,0.2192848936646281
tt0458339,140000000,370569776,230569776,0.37779659612606936
tt1843866,170000000,714401889,544401889,0.23796129688005346
tt4154664,175000000,1123061550,948061550,0.15582405078332529
tt1535109,55000000,220648184,165648184,0.2492655910551251
tt2091256,38000000,126577874,88577874,0.30021044594255075
tt3268668,2000000,2791973,791973,0.7163393055735138
tt5968394,25000000,8993300,-16006700,2.779847219596811
tt1507261,4200000,313230,-3886770,13.408677329757687
tt1692486,25000000,38112154,13112154,0.6559587264472115
tt2402927,11800000,42843521,31043521,0.27542087402200205
tt1939659,30000000,82409520,52409520,0.3640356114196515
tt1216475,200000000,560155383,360155383,0.3570437883304247
tt3606752,175000000,383541369,208541369,0.4562741183728736
tt1702425,6000000,8446952,2446952,0.7103153895038116
tt1194417,12500000,2272186,-10227814,5.501310192035335
tt1287468,85000000,113026383,28026383,0.7520368054244468
tt1477837,10000000,7862131,-2137869,1.2719197886679832
tt1489889,50000000,217194805,167194805,0.23020808439686208
tt1020558,15000000,7885048,-7114952,1.9023346465360769
tt1823672,49000000,105002056,56002056,0.46665752906781177
tt1438254,44000000,48478084,4478084,0.9076266297983229
tt1629757,20000000,8300821,-11699179,2.4094002267968433
tt1991245,1000000,42411721,41411721,0.023578387682027805
tt1014763,50000000,8004221,-41995779,6.246704082758335
tt4575576,75000000,197504758,122504758,0.3797376871295425
tt1706593,12000000,123681790,111681790,0.0970231753599297
tt2674454,10000000,7582196,-2417804,1.3188791215631988
tt2553908,10000000,173472,-9826528,57.64619073971592
tt1661199,95000000,534551353,439551353,0.17771912738943157
tt5089556,95000000,534551353,439551353,0.17771912738943157
tt1129412,2000000,10024,-1989976,199.52114924181964
tt1684628,900000,958978,58978,0.9384991105113986
tt1792647,25000000,28012862,3012862,0.892447190865396
tt0800320,125000000,493214888,368214888,0.2534392270818881
tt2017486,1500000,5396,-1494604,277.98369162342476
tt1371111,102000000,130673154,28673154,0.7805734910171374
tt1985966,78000000,274392649,196392649,0.2842641750216858
tt2380307,175000000,798008101,623008101,0.219296019402189
tt7002100,175000000,798008101,623008101,0.219296019402189
tt5719748,60000000,62599159,2599159,0.9584793303692786
tt4682786,36000000,85309093,49309093,0.4219948745674743
tt1657507,40000000,72295262,32295262,0.5532866040377584
tt5990474,700000,1110511,410511,0.6303404468753574
tt3367294,3000000,7445044,4445044,0.4029526219052567
tt1971352,270000,830700,560700,0.3250270855904659
tt0816462,90000000,63356133,-26643867,1.4205412442075656
tt3322364,35000000,50363790,15363790,0.6949437284207562
tt1598778,60000000,137551594,77551594,0.4361999614486474
tt1524137,25000000,98406855,73406855,0.2540473425352329
tt1244754,12500000,11826980,-673020,1.0569054822110124
tt3813310,5000000,143658,-4856342,34.80488382129781
tt1385867,37000000,55909910,18909910,0.6617789225559476
tt4462082,50000,8374,-41626,5.970862192500597
tt1555064,15000000,20601987,5601987,0.7280851114021186
tt1630036,2000000,35185884,33185884,0.05684097634153514
tt3104988,30000000,238099711,208099711,0.12599763298326724
tt1686018,3000000,331000,-2669000,9.06344410876133
tt3076658,37000000,173567581,136567581,0.21317344971236304
tt6343314,50000000,213591522,163591522,0.23409168833957744
tt3014866,31500000,38771262,7271262,0.8124574330337764
tt3687310,7000000,386744,-6613256,18.099828310200028
tt2554274,55000000,74966854,19966854,0.7336575708512458
tt1327709,7000000,10062896,3062896,0.6956247982688085
tt1336617,7000000,10062896,3062896,0.6956247982688085
tt0790636,5000000,60611845,55611845,0.08249212674519313
tt5074352,9500000,294654618,285154618,0.03224113731691115
tt2071441,24200000,10447579,-13752421,2.316326107703995
tt1772288,10000000,8465845,-1534155,1.1812169960588694
tt6565702,350000000,149762350,-200237650,2.337035977333422
tt1077368,150000000,238202668,88202668,0.6297158686736456
tt2387433,3500000,27704111,24204111,0.12633504103416276
tt4555426,30000000,150807172,120807172,0.19892953101726488
tt1730687,12000000,1200346,-10799654,9.997117497788137
tt1279935,55000000,152269033,97269033,0.3612027929539685
tt2103281,170000000,710644566,540644566,0.23921944687043453
tt2101341,30000000,19599974,-10400026,1.530614275304651
tt1667310,6000000,1673635,-4326365,3.5850110687216747
tt1431045,58000000,801025593,743025593,0.07240717463567983
tt5463162,110000000,786680557,676680557,0.13982803950244319
tt0989757,25000000,142033509,117033509,0.17601480225345978
tt2235108,1250000,5403771,4153771,0.2313199430545817
tt1137450,30000000,48575965,18575965,0.617589377792083
tt1321509,21000000,48977233,27977233,0.42877064941582144
tt1860357,156000000,122603824,-33396176,1.2723909818669277
tt2377322,30000000,87956618,57956618,0.34107723423381286
tt2387559,22000000,70536870,48536870,0.31189362385940855
tt1259528,30000000,80131391,50131391,0.374385114567648
tt4645330,10000000,9263940,-736060,1.079454314255058
tt5897002,10000000,9263940,-736060,1.079454314255058
tt1323594,69000000,543464573,474464573,0.1269631976544679
tt1690953,76000000,975216835,899216835,0.07793138640802894
tt3469046,75000000,1034727750,959727750,0.07248283425277809
tt3231362,750000,450,-749550,1666.6666666666667
tt3523348,750000,450,-749550,1666.6666666666667
